day_key,userId,song,artist,userAgent,sessionId,length
2018110121,8.0,You Gotta Be,Des'ree,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""",139,246.30812
2018110121,8.0,Flat 55,Mr Oizo,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""",139,144.03873
2018110121,8.0,Quem Quiser Encontrar O Amor,Tamba Trio,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""",139,177.18812
2018110121,8.0,Eriatarka,The Mars Volta,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""",139,380.42077
2018110121,8.0,Becoming Insane,Infected Mushroom,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""",139,440.2673
2018110121,8.0,Congratulations,Blue October / Imogen Heap,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""",139,241.3971
2018110121,8.0,Once again,Girl Talk,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""",139,160.15628
2018110121,10.0,Pump It,Black Eyed Peas,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",9,214.93506
2018110121,26.0,Nobody Puts Baby In The Corner,Fall Out Boy,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",169,200.72444
2018110121,26.0,Mango Pickle Down River (With The Wilcannia Mob),M.I.A.,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",169,233.7171
